name,category,address,description,score,rank_str,review,review_count,url
Quality Inn Miami Airport,hotels,"3959 NW 79th Ave, Miami, FL 33166-6517","Quality Inn Miami Airport offers families and extended-stay guests a friendly and affordable option near Miami International Airport. Enjoy complimentary airport shuttle (6:00 am - midnight) on call demand upon arrival to MIA Airport, Hot American Buffet breakfast every morning, free wireless Internet, business center in lobby, 24 hour coffee services in breakfast room, Microwave and compact refrigerator in every guest room. Headed to the cruise port of Miami? Book our ""Stay & Cruise"" package for convenient shuttle service to the port for 2 guests one way, 3rd or 4th $10 per person one way. Make arrangement for pick-up at Port of Miami for a fee upon arrival for your return to the hotel or airport. Earn free night with Choice Privileges®. International travelers welcome. Our hotel is 100% smoke-free.",3.0,#130 of 155 hotels in Miami,"I do not like leaving bad reviews.  I do not blame the staff but the management.  The air vents were extremely moldy making it hard to breathe.  Paint was peeling.  There were holes in the wall with toilet paper shoved in them.  And the shuttle only runs once an hour, something that they do not tell you that is critical to know.  Further, there are no restaurants or drug stores.  My son and I had to cross 8 lanes of traffic to get to a shell station and the walk light was out due to construction.   The hotel shop lacks in basic traveler needs like toothpaste or toothbrushes.  And while they have a washer/dryer on site they have no change machines and the front desk told me they do not give change and only had 2 quarters in the register.    It would take me 5 minutes to spackle holes in the wall and repaint.  It's not difficult.  Further, it would not take a lot of effort to keep quarters for customers by going to the bank once a week.  There's no extra hotel expense for this.    While I understand this is a budget stay these simple things indicate to me the manager simply does not care about offering a decent hotel even with the minimal efforts.  It is noisy but it is an airport hotel.  We ended up ordering UberEats which charged us $40 for a 12 inch pizza and $40 for one Chipotle burrito.  Local businesses price gouge because they know you have no car and nothing around to eat within walking distance.  That said spend an $30 bucks. Stay somewhere else with a better location that is clean and the management has some pride and integrity in what they offer.…",1113,https://www.tripadvisor.com//Hotel_Review-g34438-d120432-Reviews-Quality_Inn_Miami_Airport-Miami_Florida.html
Residence Inn by Marriott Miami Airport,hotels,"1201 NW 42nd Ave Miami Airport Marriott, Miami, FL 33126","Experience the perfect extended stay in Miami at Residence Inn by Marriott Miami Airport, with modern, fully equipped suites and expanded amenities, including complimentary breakfast, a fitness center, and an outdoor pool. Our pet-friendly hotel is conveniently located near Miami International Airport, LoanDepot Park, Magic City Casino, and Little Havana. Relax in spacious suites with pillowtop mattresses, complimentary Wi-Fi, full kitchens, and separate living areas. Whether you're in Miami for business or leisure, Residence Inn Miami Airport has everything you need for a comfortable and enjoyable stay.",4.5,#27 of 155 hotels in Miami,We really enjoy the welcoming staff and theAmazing Accomodations. This was one of the best hotels we stayed in Miami.  They staff was very accomodating and they honor military service members.  The workout facilty and breakfast was amazing.  WE WILL BE BACK!  Semper Fi! US Marine Corps Finest...,733,https://www.tripadvisor.com//Hotel_Review-g34438-d1583594-Reviews-Residence_Inn_by_Marriott_Miami_Airport-Miami_Florida.html
Element Miami Brickell,hotels,"115 SW 8th Street, Miami, FL 33130","Enjoy an extended stay experience in the heart of downtown at Element Miami Brickell. With the area's best dining and attractions just steps away, nestle into spacious suites complete with kitchens, free WiFi and breakfast, and rooftop pool and bar.",3.5,#99 of 155 hotels in Miami,"I have never stayed at this hotel.  Yesterday, I got a confirmation by email that I have a reservation at this hotel for that evening, using my Bonvoy points.  I called Marriott Customer Service right away, cancelled the reservation, and got the points back.  This morning, I received an email with a Folio from this hotel.  Someone stayed there, using this cancelled reservation.  I called the hotel and was refused any help regarding this matter.  I escalated this case with Marriott corporate.  What is going on at this hotel?",35,https://www.tripadvisor.com//Hotel_Review-g34438-d23753551-Reviews-Element_Miami_Brickell-Miami_Florida.html
citizenM Miami Worldcenter,hotels,"700 NE 2nd Ave, Miami, FL 33132-1814","Miami World Center is the second citizenM hotel in Miami (joining its sister Miami Brickell). Thanks to this superb location in the heart of the new Miami World Center development, all guests will enjoy easy access to beautifully curated shopping and dining lined alongside tree-lined walkable avenues.The hotel will rise 11 floors high, with 351 bedrooms, 4 inspiring societyM meeting rooms (bookable for AM, PM, all day and weekend meetings), plus a rooftop indoor/outdoor bar and gym. All bedrooms are the same and feature: wall-to-wall windows (with seriously good blackout blinds), ultra-comfortable XL king-size beds topped with European cotton duvets and the world's fluffiest pillows, flatscreen TVs, jungle-like rain showers, full size AM and PM shower gels/shampoos, and superfast free Wi-Fi for uploading all the glorious Miami photos and streaming entertainment to the TV. The rooms are an average of 14 sq m in size, but designed for optimal relaxation. For a contactless stay, all guests can download the free citizenM app, which allows them to check-in on their way to the hotel, control the entire room ambiance, browse menus, pay for purchases and explore the city via the curated guide.citizenM Miami Worldcenter hotel has a rooftop pool! Access to the pool is for hotel guests only. All guests receive a tote bag, water bottle, a free welcome drink (alcohol for 21+ only), and access to private beach in South Beach (including two beach chairs and towels).",4.0,#97 of 155 hotels in Miami,"I was there to see The Cure play at the Keseya Center which is conveniently located across the street from Citizen M. The front desk ambassador, Ricci, was super friendly and welcoming. He truly was so cool and it was a pleasure to chat with him everyday. The hotel is super cool and the upstairs pool is amazing. The rooms are very cool and modern. They also have a great bar and cocktail program with lots of seating downstairs. After the show we came back to the hotel to hang out and it was a blast. I highly recommend staying here. Grazie mille Ricci! -dom",17,https://www.tripadvisor.com//Hotel_Review-g34438-d24958189-Reviews-CitizenM_Miami_Worldcenter-Miami_Florida.html
Commodore Inn The Grove,condos,"3162 Commodore Plz Coconut Grove, Miami, FL 33133-5815","Featuring 20 luxurious apartments and unparalleled services for your extended lodging. Apartments for rental in the heart of Miami's Coconut Grove Village: your best choice for extended stays of 2 weeks or more. Available in one or two floors, with or without sundeck, ranging from 756 to 2,251 sq. ft. Commodore Inn The Grove is located in the heart of Coconut Grove, Miami's historic bay front village Just minutes from the hustle and bustle of Miami's business district, the white sandy beaches of Miami Beach and the glitz and glamour of Coral Gables. Conveniently close to Miami International Airport and the Port of Miami. Shop 'til they drop at many fine shops, boutiques and galleries, all within walking distance. Dine at some of Miami's best casual and fine dining restaurants or be entertained at one of our theatres or playhouses.",5.0,#6 of 28 condos in Miami,"I stayed at Commodore Inn the Grove for 2 months and enjoyed it very much! The room was very clean and furnished with everything you would need. The staff was very nice and helpful. I traveled alone for work and was happy to find great people to help me. The room was cleaned every week, maintenance requests were taken care of quickly and packages were delivered to my room. Maggie, the office manager, was wonderful; I loved her 2 puppies (Zorro and Nikki) and tried to visit them after work. The check-in and check-out system was very easy and could be done even outside business hours. Maggie emailed all the necessary information and she also made sure that the keys were ready when my schedule did not allow being in her office at the time of lease renewal. Finally, the hotel is literary located in the middle of everything. You just walk outside and are surrounded by restaurants, shops (Coco Walk); CVS, Bank of America, USPS, dry cleaning are one block away. Gated, indoor parking is also a plus! A gem in the middle of the grove!…",49,https://www.tripadvisor.com//Hotel_Review-g34438-d258677-Reviews-Commodore_Inn_The_Grove-Miami_Florida.html
"Tru By Hilton Miami Airport South Blue Lagoon, Fl",hotels,"5560 Blue Lagoon Drive, Miami, FL 33126","We're in the Blue Lagoon Corporate Park, two miles from Miami International Airport with free daily airport shuttle service (6:00 AM - 11: PM). Port of Miami, Downtown Miami and South Beach are all within a 20-minute drive away. WiFi and breakfast are included in your stay as well as access to our outdoor pool and fitness center.",3.5,#91 of 155 hotels in Miami,I can not criticise this hotel other than the breakfast and it’s by no means the worst I’ve had. I’d prefer to pay and have a good breakfast than have to skip it. Other than that the Service is excellent as was the cleanliness. I was slightly surprised there was no safe for travel documents but having said that there were no issue and at no time did I feel there was a security issue. There were many positives but the Staff are most certainly at the top - Well done for making me want to come back ! ,72,https://www.tripadvisor.com//Hotel_Review-g34438-d23633036-Reviews-Tru_By_Hilton_Miami_Airport_South_Blue_Lagoon_Fl-Miami_Florida.html
Homewood Suites by Hilton Miami - Airport West,hotels,"3590 NW 74th Avenue, Miami, FL 33122","Welcome to Homewood Suites Miami-Airport West, your Miami “home away from home.” Homewood Suites Miami-Airport West aims to make your visit as relaxing and enjoyable as possible, which is why so many guests continue to come back year after year.Guest rooms offer a flat screen TV, a kitchenette, and air conditioning, and Homewood Suites Miami-Airport West makes getting online easy as free wifi is available.You can also take advantage of some of the amenities offered by the hotel, including a 24 hour front desk, newspaper, and shops. In addition, guests can enjoy a pool and free breakfast during their visit. As an added convenience, there is free parking available to guests.When you’re feeling hungry, be sure to check out Xochimex Cantina Grill, Taco Bell, and Chili's Too, which are some Mexican restaurants that are popular with locals and out-of-towners alike.If you are interested in exploring Miami, check out one of the art galleries, such as Miami Design District, Cubaocho Museum and Performing Arts Center, and Agustin Gainza Arts and Tavern.Homewood Suites Miami-Airport West puts the best of Miami at your fingertips, making your stay both relaxing and enjoyable.",4.5,#22 of 155 hotels in Miami,"Excellent stay.  Large spacious rooms, well equipped, clean and convenient.  Appreciated the late check out.  Would definitely stay here again!  Staff was friendly, breakfast was good.  Close to airport.  ",1309,https://www.tripadvisor.com//Hotel_Review-g34438-d1025776-Reviews-Homewood_Suites_by_Hilton_Miami_Airport_West-Miami_Florida.html
Broadwaysuites Downtown By Rocket Stay,limited service properties,"310 SW 15th Rd Apt 104, Miami, FL 33129-1027","room with all the necessities in excellent condition, very well located, very close to excellent gastronomic and tourist options In short, we would love to return and recommend to family and friends Safe area with parking. they attended us very quickly any need via whatsapp",5.0,#3 of 18 limited service properties in Miami,"Rooms were very clean, the area around the hotel feels safe and there is parking. I use this hotel for business, but it is one of the nicer hotels I've stayed in. I would bring my family here if they come with me on a work trip, highly recommend.",3,https://www.tripadvisor.com//Hotel_Review-g34438-d21246407-Reviews-Broadwaysuites_Downtown_By_Rocket_Stay-Miami_Florida.html
"The Gabriel Miami Downtown, Curio Collection by Hilton",hotels,"1100 Biscayne Blvd, Miami, FL 33132","Daily Mandatory Destination Charge will be added to the room rate and includes: Premium internet access; $25 food and beverage credit for use in all hotel outlets; shuttle transfer to the Gabriel South Beach, including beach access and two chairs.Experience the essence of downtown Miami, FL at The Gabriel, Curio Collection by Hilton.  Our Biscayne Boulevard hotel puts you in the perfect spot for gorgeous bay views -- from any of our 85 guest room balconies and the 14th floor pool deck. Kaseya Center, Adrienne Arsht Center, Frost Science Museum, and the Perez Art Museum are less than a 10-minute walk away.  The hotel is a short drive to South Beach, Brickell, and the Wynwood Arts and Design district.  Conveniently located near Miami International Airport, PortMiami terminal, and public transit, we make getting around a breeze.  We also provide valet parking.",4.0,#35 of 155 hotels in Miami,It is in a good location in South Beach.  The room itself and the service was disappointing.  The rooms are eclectic in design.  The couch was located right in front of the window so you couldn’t enjoy the South Beach view.  Our flight arrived late in the evening and we really received poor check-in service.  The front desk was not helpful in supplying information.  This was a stop over for us before a Caribbean cruise.  I’m glad we stayed in South Beach but I wouldn’t do it again.  The hotel isn’t really on the beach.  We never once had any hotel employee ask us if they could help with anything.  The bar was even disappointing with premixed drinks.,432,https://www.tripadvisor.com//Hotel_Review-g34438-d8871407-Reviews-The_Gabriel_Miami_Downtown_Curio_Collection_by_Hilton-Miami_Florida.html
Rodeway Inn Miami Airport,motels,"1050 NW 14th St, Miami, FL 33136-2105","Rodeway Inn Miami Airport is an excellent choice for travelers visiting Miami, offering many helpful amenities designed to enhance your stay.Rodeway Inn Miami Airport features room service, to help make your stay more enjoyable. The property also boasts a pool and free breakfast. If you are driving to Rodeway Inn Miami Airport, free parking is available.For those interested in checking out popular landmarks while visiting Miami, Rodeway Inn Miami is located a short distance from Freedom Tower (1.5 mi) and Gesu Catholic Church (1.5 mi).When you’re feeling hungry, be sure to check out Socal Cantina, Coyo Taco, and Caja Caliente, which are some Mexican restaurants that are popular with locals and out-of-towners alike.If you’re looking for something to do, Wynwood Walls (1.2 mi), Little Havana (1.0 mi), and Marlins Park (0.8 mi) are a nice way to spend some time, and they are all within walking distance of Rodeway Inn Miami Airport.Enjoy your stay in Miami!",1.5,#17 of 17 motels in Miami,"Booked this place the night before, and I'm pretty sure I'll hear from my wife for weeks. I would not spend another night if I have booked it for a longer period. there were no available parking spots at the property, the room was smelly and dirty, and there is a mandatory fee for using the safe, no matter if you use it or not. A/C was extremely old and loud, and staff is far from friendly.",294,https://www.tripadvisor.com//Hotel_Review-g34438-d1195891-Reviews-Rodeway_Inn_Miami_Airport-Miami_Florida.html
Sentral Wynwood,hotels,"51 NW 26th St, Miami, FL 33127","Sentral is transforming the travel experience and changing the way you stay. At Sentral Wynwood—you’ll enjoy spacious, apartment-style rooms for you and your group to create new memories all under one roof. They’re designed to feel like home, just better. You’ll be located right inside Miami’s vibrant cultural epicenter, the city’s coolest neighborhood. Between visits to much-loved art museums, top restaurants, and outdoor markets—you’ll enjoy a fully stocked room and luxury amenities including a stunning rooftop pool, fitness center, and lounge area. With 24/7 service from our friendly staff, you’ll have everything you need—plus, so much more. To bring this space to life, our in-house creative team designed original wallpapers and prints inspired by Wynwood’s impressive art culture—with a touch of Sentral thrown in the mix.",4.5,#60 of 155 hotels in Miami,"Fine, but not worth the price. Advertises as being WFH friendly, but home setup isn't ideal for it (e..g. no desk or table for it, have to use kitchen table and it's far from outlets. Even not great for one person, let alone two.) Not well planned rooms overall -- e.g. not nearly enough bathroom hooks.) Gym is tiny, with old equipment, not enough treadmills, and no rules about length of time usage, so people stay on the treadmills walking for 60+ minutes REGULARLY with no consideration for people waiting -- building unwilling to step in to ameliorate this issue. Pool almost never has towels, and even on weekdays, there aren't enough pool chairs/cabanas.",87,https://www.tripadvisor.com//Hotel_Review-g34438-d19395417-Reviews-Sentral_Wynwood-Miami_Florida.html
iCoconutGrove,special hotels,"2889 McFarlane Rd, Miami, FL 33133-6008","We had a great experience at the Icoconutgrove. It is in the Arya hotel (same place, icoconut you don’t get room service, Arya you do). We stayed on the 10th floor with an amazing balcony view of the city lights. There is a rooftop pool overlooking the bay and sailboats. Right outside of the hotel doors is a beautiful park, and next to that is all of the restaurants and shopping in the coconutgrove community.  It’s a nice and safe area, very different from the hustle and bustle of Miami. Everything is in walking distance. Maybe a 15 min drive into the big city.",4.5,#2 of 4 special hotels in Miami,"Comfortable room with view, a large bathroom with all you need, safe, microwave oven and fridge available, free Wi-Fi, access to panoramic pool and gym, good location next to all restaurants (some with dedicated discount), it was perfect !",23,https://www.tripadvisor.com//Hotel_Review-g34438-d16814411-Reviews-ICoconutGrove-Miami_Florida.html
Hilton Miami Dadeland,hotels,"9100 North Kendall Drive, Miami, FL 33176","The new Hilton Miami Dadeland is just 13 miles from Miami International Airport and 2 miles from the famous Dadeland Center, Mall and Metro Station. The hotel is conveniently located near Baptist Hospital of Miami as well as South Miami's most popular shopping, dining, and attractions. Downtown Miami, beautiful beaches and neighboring hotspots of Coral Gables, Coconut Grove, Homestead, Key Biscayne and The Keys are all just minutes away. Settle in for a relaxing stay in one of our new upscale guest rooms and suites. Enjoy thoughtful features such as WiFi, LCD TVs, a work desk with ergonomic chair and a coffeemaker. Our suites also include a seating area, some with sofa beds and kitchenettes - ideal for families or extended stays.The hotel also offers Hilton's revolutionary, state-of-the-art Five Feet to Fitness in-room wellness concept, bringing 11 different fitness equipment and accessory options into the guest room.",4.5,#20 of 155 hotels in Miami,"You would expect hospitality employees at a hotel on a hospital campus to be sympathetic, empathetic, and helpful – not at this Hilton.  They were rude and exploitative, intentionally “misunderstanding” our reservations so that when we finally arrived there, after midnight, after settling a loved one into the Baptist Hospital Emergency Room, our reservations were “wrong” and we needed to make new ones which were suddenly more than double the cost of our original reservations.  We felt so abused that we left and checked into TownePlace Suites a few miles away.  The next morning we saw the pending Hilton charge on our credit card.  When we called the hotel and asked them to reverse the charge, they told us they were also planning to charge us a penalty for “walking out” on our reservation!   Having a medical emergency while away from home is stressful enough, but this Hilton piled right on with their bait-and-switch rates and adding insult to injury with the penalty charge. Thanks Hilton, I’ll be staying with Marriott from now on – they’re much nicer!…",378,https://www.tripadvisor.com//Hotel_Review-g34438-d15141715-Reviews-Hilton_Miami_Dadeland-Miami_Florida.html
Miami Princess Hotel,hotels,"4251 NW 11th St, Miami, FL 33126","Finding an ideal budget friendly small hotel in Miami does not have to be difficult. Welcome to Miami Princess Hotel, a nice option for travelers like you.You’ll enjoy relaxing rooms that offer air conditioning, and you can stay connected during your stay as Miami Princess Hotel offers guests free wifi.The small hotel features a 24 hour front desk, a concierge, and a coffee shop. For guests with a vehicle, free parking is available.Close to some of Miami's most popular landmarks, such as St Vladimir Russian Orthodox Church (0.8 mi) and Caballero Rivero Woodlawn North (1.8 mi), Miami Princess Hotel is a great destination for tourists.While in Miami, you may want to check out some of the restaurants that are a short walk away from Miami Princess Hotel, including La Patagonia Argentina (0.6 mi), Catch of the Day (0.1 mi), and La Rosa (0.3 mi).If you are interested in exploring Miami, check out a state park, such as Alice Wainwright Park.Miami Princess Hotel puts the best of Miami at your fingertips, making your stay both relaxing and enjoyable.",3.0,#122 of 155 hotels in Miami,Our room was very unkempt and uncertain if sheets were even clean. Hotel was very dated. Old furniture and sticky night stand. Bathroom not exactly clean either.  Luckily we were only there for a short time to get on a cruise the next day. The shuttle would not bring us to the port either which we were unaware of. The shuttle is only to/from airport which is 2 miles away.,67,https://www.tripadvisor.com//Hotel_Review-g34438-d1629003-Reviews-Miami_Princess_Hotel-Miami_Florida.html
La Quinta Inn & Suites by Wyndham Miami Airport West,hotels,"8730 NW 27th St, Miami, FL 33172-1612","La Quinta Inn & Suites Miami Airport West is an excellent choice for travelers visiting Miami, offering a family-friendly environment alongside many helpful amenities designed to enhance your stay.You’ll enjoy relaxing rooms that offer a flat screen TV, and you can stay connected during your stay as La Quinta Inn & Suites Miami Airport West offers guests free wifi.Plus, La Quinta Inn & Suites Miami Airport West Hotel offers a pool and free breakfast, providing a pleasant respite from your busy day. For guests with a vehicle, free parking is available.While in Miami be sure to experience nearby French restaurants such as Le Macaron Dolphin Mall.Enjoy your stay in Miami!",3.5,#93 of 155 hotels in Miami,This is a good hotel for the money.  Rooms newly renovated.  Staff is caring and attentive.  I had no issues at all.  Can't understand the hate.  It's perfectly fine for a one night stay awaiting a cruise.,1044,https://www.tripadvisor.com//Hotel_Review-g34438-d87067-Reviews-La_Quinta_Inn_Suites_by_Wyndham_Miami_Airport_West-Miami_Florida.html
Outpost Miami Apartment Rentals with Heated Pool,limited service properties,"744 Northwest 3rd Street, Miami, FL 33128","Due to Covid 19, the US borders were closed to international travelers. So we had to cancel our booking.  However the owners demand full prepayment for the rooms and has a no refund policy.  We thought the owners would align with all other hotels refund policies due to the Covid situation. But they just don't care at all.  We paid $700 8 months ago and could barely get $100 back from Booking even though we informed the owners as soon as our flights were cancelled. We did not get any answer from them (3 emails) and it is only after calls that we finally got a negative one.",2.0,#17 of 18 limited service properties in Miami,"We booked an appartment for our Family of 10 people including 2 kids. I wrote to Outpost to verify the number of sleeps. When we got to the appartment late at night .. there was only 3 queensize beds ... that is for 6 persons.  We knew that there would be 2 futons .. that is for 2 persons ... but there was no linnen, blankets or other stuff to sleep on the futons. Still sleeping opportunities for the last 2 people was missing !!!  We webt to the receptionist who where somehow surprised that we needed linnen for 4 more people, he got it for us (after checking in several others!!) ... but still eventhough we used the futons we stille needed 2 more sleeping places ...  We found an airbed ourselves to use ... which when out of Air selveral times during the night 😠  How in the World is this possible when you book for 10 people !!   I’m would never recommend this for anyone ...  Eventhough it was only for one night you definitly dont get what you book and pay for ...…",9,https://www.tripadvisor.com//Hotel_Review-g34438-d17620153-Reviews-Outpost_Miami_Apartment_Rentals_with_Heated_Pool-Miami_Florida.html
WoodSpring Suites Doral Miami Airport,limited service properties,"7500 NW 41st St, Miami, FL 33166-6718","this is the worst hotel i’ve been to literally for one everything on the website is misleading this is a rundown hotel which operates like a motel the building smells very weird theres all types of people coming and out the elevator is broke the washing machines don’t wash your clothes the coffee machine is so filthy the floors in the rooms are so covered in dirt it looks like it has not been cleaned since they opened they only mention to you when you are at check in or ask about it but you are charged extra for everything aside from the hotel you have to pay for cook/silverware, housekeeping which they did a poor job, and you always have to pay for clean linen i was served towels with hair buried in them and never used hair in shower and on curtain i also spent $70 on groceries i could not eat and then had to waste there was blood on the ceiling and lamp shade dogs running thru the hotel this place was an absolute scam i felt uncomfortable as well as i did not want to bring my guest into that atmosphere and i was told no refund place needs to be investigated honestly…",2.0,#18 of 18 limited service properties in Miami,"This hotel has a strong misleading advertising and a horrible staff especially the manager. I booked my room on the 14th of December a few a hours before arriving.. the room type and the pictures In Expedia was never matched the room it was misleading and not true the room looks good and big in Expedia website but the real room looks small and trash.. I called the hotel to check inn and when I arrived to the hotel around 2am no front desk was in the hotel or any staff it was only phone to call and the front desk arrived after two hours to give me my room key which make me and my wife and my two year old son stay waited two hours in unsafe areas and was too cold, after two hours around 4am the front desk arrives and he gives me very dirty small room, I asked him to change it However the alternative room was so bad as well when I asked him to change he said no because I booked through Expedia and if I booked through the hotel directly he would help me for a better room. The room was so small not as Expedia show in the website evidence of misleading and misinformation. The room was dirty and smells cigarettes, the bed was dirty and damaged, the bedsheet was stained and was no billow sheet, the room has bugs and flies everywhere. No toilet paper and no towels. The room was so cold when I turned the A/C to heat started smelling like smoke and then it caused my three year old son to caught because he was allergic to this smell which I was have to get him allergic medication from Walgreens. Next day when I asked to speak to the manager, the front desk told me that the manager not in duty's and unfortunately because I booked the room from Expedia the manager has nothing to do. Finally I called after two days to speak to the manager the manager her name is miracle she was so rude and hanged up on my face.…",9,https://www.tripadvisor.com//Hotel_Review-g34438-d21372933-Reviews-WoodSpring_Suites_Doral_Miami_Airport-Miami_Florida.html
Arlo Wynwood Miami,hotels,"2217 NW Miami Ct, Miami, FL 33127",Such a vibe. A beautiful hotel with great amenities and service. Also located in the beautiful Wynwood neighborhood. This is definitely my go to hotel from now on when visiting Miami. Def worth it.   ,4.0,#74 of 155 hotels in Miami,Arlo Wynwood exceeded all of our expectations. Great service. Even offered a concierge via text messaging. The rooms were perfection. Absolutely loved the pool and the bar in the lobby with their amazing mixologists. ,60,https://www.tripadvisor.com//Hotel_Review-g34438-d24889567-Reviews-Arlo_Wynwood_Miami-Miami_Florida.html
YOTEL Miami,hotels,"227 NE 2nd St, Miami, FL 33132",Minutes from Miami International Airport and directly across the bridge from the world famous South Beach,4.0,#64 of 155 hotels in Miami,"The best of the hotel was the service a waiter Ronnie guy at the restaurant vela at the hotel, he becomes more than he can explain menus, give us a service like a home and very comfortable. The hotel is new, but the rooms are very tiny and all forniture  are like desks that converts in beds but tiny  it wasnt the best experience. Checkin was very dificult because is self service.The hostess at the entrance was a good guy with a good service.",227,https://www.tripadvisor.com//Hotel_Review-g34438-d23444061-Reviews-YOTEL_Miami-Miami_Florida.html
Homewood Suites by Hilton Miami Downtown/Brickell,hotels,"1750 SW 1st Ave, Miami, FL 33129-1130","Welcome to Homewood Suites by Hilton Miami Downtown/Brickell, your Miami “home away from home.” Homewood Suites by Hilton Miami Downtown/Brickell aims to make your visit as relaxing and enjoyable as possible, which is why so many guests continue to come back year after year.Given the close proximity of popular landmarks, such as Gesu Catholic Church (1.3 mi) and Ermita de la Caridad (1.5 mi), guests of Homewood Suites by Hilton Miami Downtown/Brickell can easily experience some of Miami's most well known attractions.Guest rooms offer a flat screen TV, a kitchenette, and a refrigerator, and Homewood Suites by Hilton Miami Downtown/Brickell makes getting online easy as free wifi is available.In addition, guests can enjoy a pool and free breakfast during their visit. As an added convenience, there is parking available to guests.When you’re feeling hungry, be sure to check out Socal Cantina, Coyo Taco, and Caja Caliente, which are some Mexican restaurants that are popular with locals and out-of-towners alike.During your visit, be sure to check out popular art galleries like Miami Design District, Cubaocho Museum and Performing Arts Center, and Agustin Gainza Arts and Tavern, which are all a short distance from the hotel.Homewood Suites by Hilton Miami Downtown/Brickell puts the best of Miami at your fingertips, making your stay both relaxing and enjoyable.",4.0,#38 of 155 hotels in Miami,"Clean hotel, nice staff, nice breakfast variety, and good customer service. I found it overall average w/$25 parking charge, located across from City Metro. Very small 3ft pool and limited view of street and parking lot.",768,https://www.tripadvisor.com//Hotel_Review-g34438-d8055766-Reviews-Homewood_Suites_by_Hilton_Miami_Downtown_Brickell-Miami_Florida.html
The Guild Downtown | X Miami,condos,"230 NE 4th St, Miami, FL 33132-2231",The Guild is the hotel that combines the comforts of home with the perks of boutique accommodations. Experience life as a local and travel for days on end without hitting pause on your daily routine; allow yourself to live your best life--no matter where the road takes you.,4.0,#3 of 28 condos in Miami,"Cancelled my one night of my two night reservation- NEVER received a response from anyone about my refund. Unable to reach anyone by phone, text or email which is how they ask you to communicate. Finally had to dispute this with hotels.com in order to get a refund after 15 days following cancellation. Part of this building is a hotel and the other parts are apartments. Save yourself some time and money and book through air bnb where you can communicate directly with the units owner.",159,https://www.tripadvisor.com//Hotel_Review-g34438-d15145593-Reviews-The_Guild_Downtown_X_Miami-Miami_Florida.html
YVE Hotel Miami,hotels,"146 Biscayne Boulevard, Miami, FL 33132","A hidden gem, YVE Miami is located in the center of Miami's art and entertainment hub. A short walk from chart-topping concerts and professional sporting events at the Miami Arena, as well as an array of theater, cultural and leisure events year round at Bayfront Park, the hotel puts you in the perfect spot for whatever you want to do in Miami with easy access to Brickell's nightlife, Wynwood's art and design district and vibrant Little Havana.",4.0,#54 of 155 hotels in Miami,Andres & reyvi we’re very helpful and understanding I appreciate them for helping me out with my stay here in Miami ! I will be enjoying my bayside view for my birthday and I’m very happy I can’t wait to book here again when I come back over here . Recommending all my friends and family to this hotel,4590,https://www.tripadvisor.com//Hotel_Review-g34438-d4091412-Reviews-YVE_Hotel_Miami-Miami_Florida.html
Krymwood Flats,lodge,"145 NW 29th St, Miami, FL 33127-3935","The Cozy Hip room I stayed in was tremendously amazing! The hosts were diligently superb. Very clean and I felt right at home, and super perfect location for all the jazzy and classic festivities. I will definitely be returning. Thanks again. ",2.5,#1 of 1 lodge in Miami,"The place is clean and ok. Great location. The reservation and Check-is system, is complicated Terrible customer service, I have been trying to get my deposit back. No visible staff, not even a security guard",3,https://www.tripadvisor.com//Hotel_Review-g34438-d21396491-Reviews-Krymwood_Flats-Miami_Florida.html
The Mutiny Hotel,hotels,"2951 S Bayshore Dr, Miami, FL 33133-6002","Few destinations can boast such a distinctive and colorful character as Coconut Grove. In the heart of this tropical paradise sits The Mutiny Hotel, a luxurious all-suite property neighboring the pristine waters of Biscayne Bay. A bright swatch of coral set against the intensely blue South Florida sky, the Mutiny's 12-story tower epitomizes the South Florida style; vibrant colors compliment chic accommodations elegantly decorated in a modern-lavish motif. Long a playground for the elite, The Grove - as it is known by locals - is also a second home to many celebrities, artists, and jetsetters. Its entertainment and shopping district reflects the quirky-yet-sophisticated nature of its residents, and visitors can find everything from haute couture to haughty kitsch in the many shops at CocoWalk, steps from The Mutiny's front door. After all, where else can you see stars in broad daylight, dance through an island festival, and enjoy dinner at a funky cafe? Only at The Mutiny.",4.5,#25 of 155 hotels in Miami,"This place is dingy, dirty, and overpriced. The air conditioners are louder than a propeller plane. The gym had towels strewn everywhere with no new ones to use and clearly hadn’t been cleaned in days. It needs a refresh and new management. Thanks!",1082,https://www.tripadvisor.com//Hotel_Review-g34438-d87137-Reviews-The_Mutiny_Hotel-Miami_Florida.html
